reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,year,controlling_corporation,is_summary
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,52787806.0,14663279.0,16683326.0,242951.0,16926277,1.14,On,NEM,Brown Coal,2020,,False
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3436848.0,954680.0,12421.0,3184.0,15605,0.01,On,NEM,Wind,2020,,False
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,375870.0,104408.0,0.0,4553.0,4553,0.0,On,NEM,Hydro,2020,,False
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,871597.0,242110.0,150.0,714.0,864,0.0,On,NEM,Solar,2020,,False
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,716825.0,199118.0,73.0,481.0,554,0.0,On,NEM,Wind,2020,,False
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,17216.0,4782.0,0.0,93.0,93,0.0,On,NEM,Hydro,2020,,False
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,2174344.0,603984.0,134.0,281.0,415,0.0,On,NEM,Wind,2020,,False
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,344085.0,95579.0,67041.0,1720.0,68761,0.7,On,NEM,Gas,2020,,False
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,7836105.0,2176696.0,1262196.0,13776.0,1275972,0.58,On,NEM,Gas,2020,,False
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,973724.0,270479.0,53.0,158.0,211,0.0,On,NEM,Wind,2020,,False
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,524348.0,145652.0,0.0,746.0,746,0.0,On,NEM,Hydro,2020,,False
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,77952.0,21653.0,0.0,70.0,70,0.0,On,NEM,Hydro,2020,,False
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,6851412.0,1903170.0,1340502.0,302.0,1340804,0.7,On,SWIS,Gas,2020,,False
APT PIPELINES LIMITED,Badgingarra Solar Farm,F,WA,141407.0,39280.0,16.0,62.0,78,0.0,On,SWIS,Solar,2020,,False
APT PIPELINES LIMITED,Badgingarra Wind Farm,F,WA,1764569.0,490158.0,90.0,353.0,443,0.0,On,SWIS,Wind,2020,,False
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,764306.0,212307.0,109246.0,80.0,109326,0.51,On,NEM,Coal Seam Methane,2020,,False
APT PIPELINES LIMITED,Darling Downs Solar Farm,F,QLD,871353.0,242043.0,461.0,727.0,1188,0.0,On,NEM,Wind,2020,,False
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,6168352.0,1713431.0,701504.0,131.0,701635,0.41,On,Mt Isa,Gas,2020,,False
APT PIPELINES LIMITED,Emu Downs Solar Farm,F,WA,177976.0,49438.0,11.0,67.0,78,0.0,On,SWIS,Solar,2020,,False
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,876726.0,243535.0,79.0,275.0,354,0.0,On,SWIS,Wind,2020,,False
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,1242201.0,345056.0,206961.0,4612.0,211573,0.6,On,NEM,Coal Seam Methane,2020,,False
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,351776.0,97715.0,70699.0,164.0,70863,0.72,On,NWIS,Gas,2020,,False
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,2613839.0,726066.0,299328.0,2698.0,302026,0.41,On,NEM,Gas,2020,,False
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,2231783.0,619940.0,19.0,1397.0,1416,0.0,On,NEM,Wind,2020,,False
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,1183663.0,328795.0,92.0,648.0,740,0.0,On,NEM,Wind,2020,,False
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Gullen Solar Pty Ltd,F,NSW,70810.0,19670.0,0.0,178.0,178,0.0,On,NEM,Solar,2020,,False
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,1964482.0,545689.0,87.0,149.0,236,0.0,On,NEM,Wind,2020,,False
BHP GROUP LIMITED,Yarnima Power Station,F,WA,2630286.0,730635.0,315226.0,0.0,315226,0.43,Off,Off-grid,Gas,2020,,False
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,6277068.0,1743630.0,1469272.0,2534.0,1471806,0.84,On,SWIS,Black Coal,2020,,False
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,6378372.0,1771770.0,1434244.0,1300.0,1435544,0.81,On,SWIS,Black Coal,2020,,False
C S ENERGY LIMITED,Callide B Power Station,F,QLD,17537843.0,4871623.0,4612039.0,35504.0,4647543,0.95,On,NEM,Black Coal,2020,,False
C S ENERGY LIMITED,Callide C Power Station,F,QLD,20169245.0,5602568.0,5101734.0,31810.0,5133544,0.91,On,NEM,Black Coal,2020,,False
C S ENERGY LIMITED,Kogan Creek Power Station,F,QLD,14928102.0,4146695.0,3486138.0,6980.0,3493118,0.84,On,NEM,Black Coal,2020,,False
C S ENERGY LIMITED,Wivenhoe Power Station,F,QLD,134625.0,37396.0,11.0,52925.0,52936,0.0,On,NEM,Hydro,2020,,False
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,794085.0,220579.0,6013.0,1245.0,7258,0.03,On,NEM,Bagasse,2020,,False
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,694896.0,193027.0,5381.0,1434.0,6815,0.03,On,NEM,Bagasse,2020,,False
CECEP WIND POWER AUSTRALIA HOLDING PTY LTD,White Rock Wind Farm Pty Ltd,F,NSW,1505668.0,418241.0,89.0,241.0,330,0.0,On,NEM,Wind,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Appin CSM Power Station,F,NSW,665043.0,184734.0,133911.0,6.0,133917,0.72,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Ardyaloon Facility,F,WA,7128.0,1980.0,1412.0,0.0,1412,0.71,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Beagle Bay Facility,F,WA,6837.0,1899.0,1368.0,0.0,1368,0.72,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Belrose LFG Power Station,F,NSW,7540.0,2095.0,134.0,3.0,137,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Berwick LFG Power Station,F,VIC,36393.0,10109.0,513.0,215.0,728,0.05,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Bidyadanga Facility,F,WA,11180.0,3106.0,2226.0,0.0,2226,0.72,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broadmeadows LFG Power Station,F,VIC,43320.0,12033.0,608.0,125.0,733,0.05,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Brooklyn LFG Power Station,F,VIC,31468.0,8741.0,494.0,2.0,496,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broome LNG Power Station,F,WA,498016.0,138338.0,79069.0,30.0,79099,0.57,Off,Off-grid,Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Browns Plains LFG Power Station,F,QLD,55418.0,15394.0,883.0,2.0,885,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Clayton LFG Power Station,F,VIC,298046.0,82790.0,4068.0,308.0,4376,0.05,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Coober Pedy Facility,F,SA,55836.0,15510.0,2358.0,0.0,2358,0.15,Off,Off-grid,Wind,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corio LFG Power Station,F,VIC,27200.0,7556.0,385.0,4.0,389,0.05,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Cullerin Range Wind Farm,F,NSW,390638.0,108511.0,21.0,75.0,96,0.0,On,NEM,Wind,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Derby LNG Power Station,F,WA,124341.0,34539.0,20623.0,0.0,20623,0.6,Off,Off-grid,Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Djarindjin Facility,F,WA,6489.0,1802.0,1309.0,0.0,1309,0.73,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Eastern Creek LFG Power Station,F,NSW,20612.0,5726.0,331.0,12.0,343,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Fitzroy Crossing LNG Power Station,F,WA,53003.0,14723.0,9623.0,0.0,9623,0.65,Off,Off-grid,Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Gascoyne Facility,F,WA,2571.0,714.0,571.0,0.0,571,0.8,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,German Creek CMM Power Station,F,QLD,1105348.0,307041.0,133357.0,21.0,133378,0.43,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Glennies Creek WCMG Power Station,F,NSW,297038.0,82511.0,43349.0,4.0,43353,0.53,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grange Avenue LFG Power Station,F,NSW,17589.0,4886.0,281.0,7.0,288,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 1 WCMG Power Station,F,QLD,600600.0,166833.0,91185.0,21.0,91206,0.55,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 2 WCMG Power Station,F,QLD,440605.0,122390.0,67697.0,9.0,67706,0.55,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Halls Creek LNG Power Station,F,WA,42258.0,11738.0,7824.0,0.0,7824,0.67,Off,Off-grid,Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Jack's Gully LFG Power Station,F,NSW,33019.0,9172.0,536.0,2.0,538,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Kalamunda Power Station,F,WA,16.0,4.0,3.0,2.0,5,0.68,On,SWIS,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Laverton Facility,F,WA,15468.0,4297.0,3005.0,0.0,3005,0.7,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Leonora Facility,F,WA,31326.0,8702.0,6577.0,0.0,6577,0.76,Off,Off-grid,Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Looma NGD power Station,F,WA,8782.0,2440.0,1943.0,0.0,1943,0.8,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 1 LFG Power Station,F,NSW,43971.0,12214.0,729.0,2.0,731,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 2 LFG Power Station,F,NSW,379119.0,105311.0,6114.0,2.0,6116,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,McArthur River Power Station,F,NT,1178932.0,327481.0,155049.0,0.0,155049,0.47,Off,Off-grid,Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Menzies Facility,F,WA,2616.0,727.0,569.0,0.0,569,0.78,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Moranbah North CMM Power Station,F,QLD,1607807.0,446613.0,253284.0,11.0,253295,0.57,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Mugga Lane LFG Power Station,F,ACT,80259.0,22294.0,1278.0,4.0,1282,0.06,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek II WCMG Power Station,F,QLD,297038.0,82511.0,47652.0,20.0,47672,0.58,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek WCMG Power Station,F,QLD,460242.0,127845.0,65530.0,15.0,65545,0.51,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Pine Creek A Power Station,F,NT,678990.0,188608.0,90418.0,0.0,90418,0.48,On,DKIS,Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Red Hill LFG Power Station,F,WA,80882.0,22467.0,1114.0,2.0,1116,0.05,On,SWIS,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Springvale LFG Power Station,F,VIC,47327.0,13146.0,662.0,5.0,667,0.05,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tahmoor WCMG Power Station,F,NSW,187072.0,51964.0,28004.0,4.0,28008,0.54,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tamala Park LFG Power Station,F,WA,133566.0,37102.0,1837.0,3.0,1840,0.05,On,SWIS,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tower CSM Power Station,F,NSW,330362.0,91767.0,65416.0,183.0,65599,0.71,On,NEM,Waste Coal Mine Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Warmun Facility,F,WA,9815.0,2726.0,2060.0,0.0,2060,0.76,Off,Off-grid,Diesel,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Weipa Solar Power Station,F,QLD,7577.0,2105.0,0.0,7.0,7,0.0,Off,Off-grid,Solar,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 1 LFG Power Station,F,SA,31769.0,8825.0,613.0,2.0,615,0.07,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 2 LFG Power Station,F,SA,58261.0,16184.0,787.0,0.0,787,0.05,On,NEM,Landfill Gas,2020,,False
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wonthaggi Wind Farm,F,VIC,116899.0,32472.0,4.0,52.0,56,0.0,On,NEM,Wind,2020,,False
CLARE SOLAR FARM HOLDINGS PTY LTD,Clare Solar Farm,F,QLD,631256.0,175349.0,187.0,772.0,959,0.0,On,NEM,Solar,2020,,False
CLEANCO QUEENSLAND LIMITED,Barron Gorge Power Station,F,QLD,356756.0,99099.0,664.0,442.0,1106,0.01,On,NEM,Hydro,2020,,False
CLEANCO QUEENSLAND LIMITED,Kareeya Power Station,F,QLD,523855.0,145515.0,51.0,1922.0,1973,0.0,On,NEM,Hydro,2020,,False
CLEANCO QUEENSLAND LIMITED,Swanbank E Power Station,F,QLD,3328218.0,924505.0,349654.0,1001.0,350655,0.38,On,NEM,Gas,2020,,False
CONTRACT POWER AUSTRALIA PTY LTD,Cue Town Powerstation,F,WA,11873.0,3298.0,2289.0,0.0,2289,0.69,Off,Off-grid,Diesel,2020,,False
CONTRACT POWER AUSTRALIA PTY LTD,Meekatharra Town Powerstation,F,WA,22390.0,6220.0,4295.0,0.0,4295,0.69,Off,Off-grid,Diesel,2020,,False
CONTRACT POWER AUSTRALIA PTY LTD,Mt Magnet Town Powerstation,F,WA,14654.0,4070.0,2469.0,0.0,2469,0.61,Off,Off-grid,Gas,2020,,False
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,3325.0,923.0,667.0,0.0,667,0.72,Off,Off-grid,Diesel,2020,,False
CONTRACT POWER AUSTRALIA PTY LTD,Sandstone Town Powerstation,F,WA,2261.0,628.0,481.0,0.0,481,0.77,Off,Off-grid,Diesel,2020,,False
CONTRACT POWER AUSTRALIA PTY LTD,Wiluna Town Powerstation,F,WA,9129.0,2536.0,1781.0,0.0,1781,0.7,Off,Off-grid,Diesel,2020,,False
CONTRACT POWER AUSTRALIA PTY LTD,Yalgoo Town Powerstation,F,WA,3747.0,1041.0,857.0,0.0,857,0.82,Off,Off-grid,Diesel,2020,,False
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,2465782.0,684939.0,214.0,778.0,992,0.0,On,SWIS,Wind,2020,,False
CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,1363871.0,378853.0,14.0,0.0,14,0.0,On,NEM,Wind,2020,,False
CWP RENEWABLES PTY LTD,Crudine Ridge Wind Farm,F,NSW,298.0,83.0,1392.0,0.0,1392,16.8,On,NEM,Wind,2020,,False
DELTA ELECTRICITY PTY LTD,Vales Point Power Station,F,NSW,26561860.0,7378295.0,6471988.0,99519.0,6571507,0.88,On,NEM,Black Coal,2020,,False
DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,Royalla Solar Farm,F,ACT,138519.0,38478.0,0.0,176.0,176,0.0,On,NEM,Solar,2020,,False
DUNDONNELL WIND FARM PTY LTD,Dundonnell Wind Farm,F,VIC,296736.0,82427.0,5122.0,504.0,5626,0.06,On,NEM,Wind,2020,,False
EDIFY ENERGY PTY. LTD.,Gannawarra Solar Farm Pty Ltd,F,VIC,266259.0,73961.0,17.0,0.0,17,0.0,On,NEM,Solar,2020,,False
EDIFY ENERGY PTY. LTD.,GESS ProjectCo Pty Ltd,F,VIC,0.0,0.0,15.0,2967.0,2982,0.0,On,NEM,Battery,2020,,False
EDIFY ENERGY PTY. LTD.,Hamilton Solar Farm Pty Ltd,F,QLD,461866.0,128296.0,74.0,0.0,74,0.0,On,NEM,Solar,2020,,False
EDIFY ENERGY PTY. LTD.,The Daydream Solar Farm Trust,F,QLD,1262615.0,350726.0,34.0,0.0,34,0.0,On,NEM,Solar,2020,,False
EDIFY ENERGY PTY. LTD.,The Hayman Solar Farm Trust,F,QLD,390882.0,108578.0,16.0,0.0,16,0.0,On,NEM,Solar,2020,,False
EDIFY ENERGY PTY. LTD.,Whitsunday Solar Farm Pty,F,QLD,406085.0,112801.0,73.0,0.0,73,0.0,On,NEM,Solar,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel Power Station,F,WA,6270.0,1742.0,48.0,3.0,51,0.03,On,SWIS,Wind,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,WA,780138.0,216705.0,85776.0,0.0,85776,0.4,On,SWIS,Gas,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,WA,3463536.0,962093.0,890846.0,3840.0,894686,0.93,On,SWIS,Black Coal,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel Power Station,F,WA,11191.0,3109.0,1613.0,0.0,1613,0.52,Off,Off-grid,Diesel,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,WA,7979.0,2216.0,0.0,1.0,1,0.0,Off,Off-grid,Wind,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,WA,52270.0,14520.0,1.0,6.0,7,0.0,Off,Off-grid,Wind,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel Power Station,F,WA,17077.0,4744.0,2240.0,0.0,2240,0.47,Off,Off-grid,Diesel,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,WA,10712.0,2975.0,0.0,4.0,4,0.0,On,SWIS,Wind,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,11264.0,3129.0,3314.0,0.0,3314,1.06,On,SWIS,Gas,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,2856381.0,793439.0,428789.0,771.0,429560,0.54,On,SWIS,Gas,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,WA,14013497.0,3892638.0,3588105.0,1539.0,3589644,0.92,On,SWIS,Black Coal,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,WA,31585.0,8774.0,6961.0,0.0,6961,0.79,On,SWIS,Gas,2020,,False
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,WA,1794623.0,498506.0,433023.0,0.0,433023,0.87,On,SWIS,Gas,2020,,False
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,480.0,133.0,100.0,0.0,100,0.75,On,SWIS,Diesel,2020,,False
ELLIOTT GREEN CHILDERS PTY LTD,Childers Solar Farm,F,QLD,376268.0,104519.0,0.0,284.0,284,0.0,On,NEM,Solar,2020,,False
ELLIOTT GREEN NEVERTIRE PTY LTD,Nevertire Solar Farm,F,NSW,194563.0,54045.0,0.0,266.0,266,0.0,On,NEM,Solar,2020,,False
ELLIOTT GREEN SUSAN RIVER PTY LTD,Susan River Solar Farm,F,QLD,483932.0,134426.0,0.0,348.0,348,0.0,On,NEM,Solar,2020,,False
ENEL GREEN POWER AUSTRALIA PTY LTD,Bungala One Solar Farm,F,SA,917001.0,254722.0,0.0,0.0,0,0.0,On,NEM,Solar,2020,,False
ENEL GREEN POWER AUSTRALIA PTY LTD,Bungala Two Solar Farm,F,SA,196508.0,54586.0,0.0,0.0,0,0.0,On,NEM,Solar,2020,,False
ENERGY QUEENSLAND LIMITED,Aurukun Remote generation,F,QLD,21014.0,5837.0,4067.0,0.0,4067,0.7,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Badu Island Remote Generation,F,QLD,11735.0,3260.0,2291.0,0.0,2291,0.7,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Bamaga Remote Generation,F,QLD,52160.0,14489.0,10005.0,0.0,10005,0.69,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Barcaldine Power Station Facility,F,QLD,5418.0,1505.0,4805.0,411.0,5216,3.19,On,NEM,Gas,2020,,False
ENERGY QUEENSLAND LIMITED,Bedourie Remote Generation,F,QLD,4978.0,1383.0,922.0,0.0,922,0.67,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Birdsville Remote Generation,F,QLD,5989.0,1664.0,1096.0,0.0,1096,0.66,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Boigu Island Remote Generation,F,QLD,4246.0,1179.0,898.0,0.0,898,0.76,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Boulia Remote Generation,F,QLD,10419.0,2894.0,2094.0,0.0,2094,0.72,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Burketown Remote Generation,F,QLD,8681.0,2411.0,1660.0,0.0,1660,0.69,Off,Off-grid,Diesel,2020,,False
ENERGY QUEENSLAND LIMITED,Camooweal Remote Generation,F,QLD,7364.0,2046.0,1527.0,0.0,1527,0.75,Off,Off-grid,Diesel,2020,,False
