reporting_entity,facility_name,matched_cer_facility_name,type,state,year,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,controlling_corporation,is_summary,capacity_mw,fuel_source,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,project_status,merge_status,bd_2,bd_3,bd_4,bd_5,erp_17,erp_18,erp_19,erp_21,erp_22,erp_23,erp_f_10,erp_f_11,erp_f_12,erp_f_13,erp_f_14,erp_f_15,erp_f_16,erp_f_17,erp_f_18,erp_f_19,erp_f_20,erp_f_21,erp_f_22,erp_f_23,erp_f_24,erp_f_25,erp_f_26,erp_f_27,erp_f_28,erp_f_29,erp_f_2,erp_f_30,erp_f_31,erp_f_32,erp_f_33,erp_f_34,erp_f_35,erp_f_36,erp_f_37,erp_f_38,erp_f_3,erp_f_4,erp_f_5,erp_f_6,erp_f_7,erp_f_8,erp_f_9,erp_m_10,erp_m_11,erp_m_12,erp_m_13,erp_m_14,erp_m_15,erp_m_16,erp_m_17,erp_m_18,erp_m_19,erp_m_20,erp_m_21,erp_m_22,erp_m_23,erp_m_24,erp_m_25,erp_m_26,erp_m_27,erp_m_28,erp_m_29,erp_m_2,erp_m_30,erp_m_31,erp_m_32,erp_m_33,erp_m_34,erp_m_35,erp_m_36,erp_m_37,erp_m_38,erp_m_3,erp_m_4,erp_m_5,erp_m_6,erp_m_7,erp_m_8,erp_m_9,erp_p_10,erp_p_11,erp_p_12,erp_p_13,erp_p_14,erp_p_15,erp_p_16,erp_p_17,erp_p_18,erp_p_19,erp_p_20,erp_p_21,erp_p_22,erp_p_23,erp_p_24,erp_p_25,erp_p_26,erp_p_27,erp_p_28,erp_p_29,erp_p_2,erp_p_30,erp_p_31,erp_p_32,erp_p_33,erp_p_34,erp_p_35,erp_p_36,erp_p_37,erp_p_38,erp_p_3,erp_p_4,erp_p_5,erp_p_6,erp_p_7,erp_p_8,erp_p_9,ing_1564,ing_alc1,ing_alc2,ing_cultid,ing_disab1,ing_disab2,ing_disab3,ing_disab4,ing_disab5,ing_disab6,ing_disab7,ing_eetp1,ing_eetp2,ing_eetp3,ing_eetph1,ing_eetph2,ing_eetph3,ing_emp1,ing_emp2,ing_emp3,ing_erp_f,ing_erp_m,ing_erp_p,ing_f014,ing_f1524,ing_f2534,ing_f3544,ing_f4554,ing_f55over,ing_heap1,ing_heap2,ing_heap3,ing_hltc1,ing_hltc2,ing_hltc3,ing_hmlss1,ing_hmlss2,ing_hosd10,ing_hosd11,ing_hosd1,ing_hosd2,ing_hosd3,ing_hosd4,ing_hosd5,ing_hosd6,ing_hosd7,ing_hosd8,ing_hosd9,ing_labf,ing_lang1,ing_lang2,ing_lfpr,ing_lfsp1,ing_lfsp2,ing_lfsp3,ing_lthc1,ing_lthc2,ing_lthc3,ing_lthc4,ing_lthc5,ing_lthc6,ing_m014,ing_m1524,ing_m2534,ing_m3544,ing_m4554,ing_m55over,ing_ma_f,ing_ma_m,ing_ma_p,ing_nilf,ing_p014,ing_p1524,ing_p2534,ing_p3544,ing_p4554,ing_p55over,ing_sahlth,ing_smk1,ing_smk2,ing_ttype1,ing_ttype2,ing_ttype3,ing_ttype4,ing_ua1,ing_ua2,ing_unemp1,ing_unemp2,ing_upcc1,ing_upcc2,ing_upcc3,ing_upcc4,ing_upcc5,ing_upcc6,ing_upcc7,ing_upcc8,ing_usp1,ing_usp2,ing_usp3,ing_usp4,ing_volwp1,ing_volwp2,ing_wa1,ing_wa2,ing_yr12c3p1,ing_yr12c3p2,ing_yr12c3p3,land,pension_3,pension_4,pension_5
SENTIENT IMPACT GROUP PTY LTD,Maryrorough Solar Farm,,F,QLD,2023,215591.0,59887.0,15.0,92.0,107,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,58458.0,1.69,36622.0,5.4,64.7,3530226.0,37.6,3.2,39.2,38.5,183787.0,172219.0,180664.0,162285.0,161727.0,141351.0,124170.0,99781.0,61736.0,61207.0,2756217.0,5.4,5.9,6.3,6.1,6.3,6.9,7.1,7.0,6.7,149946.0,6.2,6.6,5.9,5.9,5.1,4.5,3.6,2.2,2.2,163082.0,174689.0,168293.0,172901.0,189739.0,195929.0,192711.0,176113.0,165343.0,174565.0,156138.0,153235.0,132050.0,116775.0,93992.0,54354.0,41336.0,2704203.0,5.9,6.4,6.8,6.6,6.6,7.0,7.0,6.9,6.5,159163.0,6.1,6.5,5.8,5.7,4.9,4.3,3.5,2.0,1.5,172550.0,184012.0,178932.0,178831.0,190643.0,190418.0,185753.0,359900.0,337562.0,355229.0,318423.0,314962.0,273401.0,240945.0,193773.0,116090.0,102543.0,5460477.0,5.7,6.1,6.6,6.4,6.4,7.0,7.1,6.9,6.6,309109.0,6.2,6.5,5.8,5.8,5.0,4.4,3.5,2.1,1.9,335632.0,358701.0,347225.0,351732.0,380382.0,386347.0,378464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.0,21140.0,6661.0
SENTIENT IMPACT GROUP PTY LTD,Mount Majura Solar Farm,,F,ACT,2023,14188.0,3941.0,0.0,1.0,1,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,5222.0,1.4,2395.0,4.9,68.5,319551.0,34.8,197.8,36.3,35.6,17296.0,14453.0,14145.0,11859.0,11133.0,9758.0,9027.0,7291.0,4538.0,4525.0,236245.0,5.4,5.9,5.8,5.4,7.8,8.8,8.8,8.1,7.3,12798.0,6.1,6.0,5.0,4.7,4.1,3.8,3.1,1.9,1.9,13886.0,13700.0,12746.0,18471.0,20766.0,20720.0,19133.0,16965.0,14414.0,13771.0,11440.0,10255.0,8432.0,7545.0,6219.0,3589.0,3000.0,230321.0,5.9,6.4,6.3,6.0,8.0,8.8,9.0,8.1,7.4,13613.0,6.3,6.0,5.0,4.5,3.7,3.3,2.7,1.6,1.3,14660.0,14434.0,13774.0,18501.0,20368.0,20664.0,18677.0,34261.0,28867.0,27916.0,23299.0,21388.0,18190.0,16572.0,13510.0,8127.0,7525.0,466359.0,5.7,6.1,6.0,5.7,7.9,8.8,8.9,8.1,7.3,26411.0,6.2,6.0,5.0,4.6,3.9,3.6,2.9,1.7,1.6,28546.0,28134.0,26520.0,36972.0,41134.0,41384.0,37810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,940.0,204.0
SENTIENT IMPACT GROUP PTY LTD,Swan Hill Solar Farm,,F,VIC,2023,110738.0,30760.0,2.0,55.0,57,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,71889.0,1.49,45326.0,5.2,65.7,4480278.0,36.9,30.0,38.7,37.8,234154.0,209030.0,217735.0,195456.0,192342.0,170944.0,148991.0,120630.0,79695.0,88018.0,3445049.0,5.5,5.8,5.8,5.7,6.4,7.4,7.8,7.6,6.8,189885.0,6.1,6.3,5.7,5.6,5.0,4.3,3.5,2.3,2.6,198801.0,199241.0,195250.0,219400.0,253416.0,270377.0,261684.0,230326.0,203291.0,206574.0,185587.0,179940.0,155541.0,133032.0,107597.0,66947.0,57541.0,3370392.0,5.9,6.2,6.2,6.1,7.0,7.8,7.8,7.7,6.8,198024.0,6.0,6.1,5.5,5.3,4.6,3.9,3.2,2.0,1.7,210190.0,210086.0,206823.0,234777.0,262471.0,263536.0,258109.0,464480.0,412321.0,424309.0,381043.0,372282.0,326485.0,282023.0,228227.0,146642.0,145559.0,6816241.0,5.7,6.0,6.0,5.9,6.7,7.6,7.8,7.6,6.8,387909.0,6.0,6.2,5.6,5.5,4.8,4.1,3.3,2.2,2.1,408991.0,409327.0,402073.0,454177.0,515887.0,533913.0,519793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,13718.0,4872.0
SENTIENT IMPACT GROUP PTY LTD,Williamsdale Solar Farm,,F,ACT,2023,60377.0,16771.0,2.0,54.0,56,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,5222.0,1.4,2395.0,4.9,68.5,319551.0,34.8,197.8,36.3,35.6,17296.0,14453.0,14145.0,11859.0,11133.0,9758.0,9027.0,7291.0,4538.0,4525.0,236245.0,5.4,5.9,5.8,5.4,7.8,8.8,8.8,8.1,7.3,12798.0,6.1,6.0,5.0,4.7,4.1,3.8,3.1,1.9,1.9,13886.0,13700.0,12746.0,18471.0,20766.0,20720.0,19133.0,16965.0,14414.0,13771.0,11440.0,10255.0,8432.0,7545.0,6219.0,3589.0,3000.0,230321.0,5.9,6.4,6.3,6.0,8.0,8.8,9.0,8.1,7.4,13613.0,6.3,6.0,5.0,4.5,3.7,3.3,2.7,1.6,1.3,14660.0,14434.0,13774.0,18501.0,20368.0,20664.0,18677.0,34261.0,28867.0,27916.0,23299.0,21388.0,18190.0,16572.0,13510.0,8127.0,7525.0,466359.0,5.7,6.1,6.0,5.7,7.9,8.8,8.9,8.1,7.3,26411.0,6.2,6.0,5.0,4.6,3.9,3.6,2.9,1.7,1.6,28546.0,28134.0,26520.0,36972.0,41134.0,41384.0,37810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,940.0,204.0
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,Gangarri Solar Farm,,F,QLD,2023,634169.0,176158.0,192.0,639.0,831,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,58458.0,1.69,36622.0,5.4,64.7,3530226.0,37.6,3.2,39.2,38.5,183787.0,172219.0,180664.0,162285.0,161727.0,141351.0,124170.0,99781.0,61736.0,61207.0,2756217.0,5.4,5.9,6.3,6.1,6.3,6.9,7.1,7.0,6.7,149946.0,6.2,6.6,5.9,5.9,5.1,4.5,3.6,2.2,2.2,163082.0,174689.0,168293.0,172901.0,189739.0,195929.0,192711.0,176113.0,165343.0,174565.0,156138.0,153235.0,132050.0,116775.0,93992.0,54354.0,41336.0,2704203.0,5.9,6.4,6.8,6.6,6.6,7.0,7.0,6.9,6.5,159163.0,6.1,6.5,5.8,5.7,4.9,4.3,3.5,2.0,1.5,172550.0,184012.0,178932.0,178831.0,190643.0,190418.0,185753.0,359900.0,337562.0,355229.0,318423.0,314962.0,273401.0,240945.0,193773.0,116090.0,102543.0,5460477.0,5.7,6.1,6.6,6.4,6.4,7.0,7.1,6.9,6.6,309109.0,6.2,6.5,5.8,5.8,5.0,4.4,3.5,2.1,1.9,335632.0,358701.0,347225.0,351732.0,380382.0,386347.0,378464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.0,21140.0,6661.0
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,Newgen Neerabup Power Station,,F,WA,2023,1219429.0,338730.0,233084.0,2138.0,235222,0.69,On,SWIS,Gas,,False,,,,,,,,,nger_only,32031.0,1.65,17475.0,4.9,65.3,1880771.0,37.5,1.1,38.7,38.1,99841.0,88840.0,92028.0,83853.0,81620.0,71790.0,61510.0,47513.0,30972.0,32661.0,1435976.0,5.7,6.2,6.2,5.9,5.9,6.8,7.5,7.7,7.0,82179.0,6.2,6.4,5.8,5.7,5.0,4.3,3.3,2.2,2.3,89219.0,89396.0,84440.0,84703.0,98012.0,107535.0,109864.0,100808.0,89780.0,93504.0,83931.0,79535.0,67274.0,57512.0,44961.0,26992.0,22160.0,1445251.0,6.0,6.6,6.5,6.2,6.3,7.1,7.4,7.7,7.0,86994.0,6.2,6.5,5.8,5.5,4.7,4.0,3.1,1.9,1.5,94733.0,94590.0,90099.0,91568.0,103016.0,107108.0,110686.0,200649.0,178620.0,185532.0,167784.0,161155.0,139064.0,119022.0,92474.0,57964.0,54821.0,2883762.0,5.9,6.4,6.4,6.1,6.1,7.0,7.4,7.7,7.0,169173.0,6.2,6.4,5.8,5.6,4.8,4.1,3.2,2.0,1.9,183952.0,183986.0,174539.0,176271.0,201028.0,214643.0,220550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,8712.0,2122.0
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,Oakey Power Station,,F,QLD,2023,408157.0,113377.0,72058.0,2075.0,74133,0.64,On,NEM,Gas,,False,,,,,,,,,nger_only,58458.0,1.69,36622.0,5.4,64.7,3530226.0,37.6,3.2,39.2,38.5,183787.0,172219.0,180664.0,162285.0,161727.0,141351.0,124170.0,99781.0,61736.0,61207.0,2756217.0,5.4,5.9,6.3,6.1,6.3,6.9,7.1,7.0,6.7,149946.0,6.2,6.6,5.9,5.9,5.1,4.5,3.6,2.2,2.2,163082.0,174689.0,168293.0,172901.0,189739.0,195929.0,192711.0,176113.0,165343.0,174565.0,156138.0,153235.0,132050.0,116775.0,93992.0,54354.0,41336.0,2704203.0,5.9,6.4,6.8,6.6,6.6,7.0,7.0,6.9,6.5,159163.0,6.1,6.5,5.8,5.7,4.9,4.3,3.5,2.0,1.5,172550.0,184012.0,178932.0,178831.0,190643.0,190418.0,185753.0,359900.0,337562.0,355229.0,318423.0,314962.0,273401.0,240945.0,193773.0,116090.0,102543.0,5460477.0,5.7,6.1,6.6,6.4,6.4,7.0,7.1,6.9,6.6,309109.0,6.2,6.5,5.8,5.8,5.0,4.4,3.5,2.1,1.9,335632.0,358701.0,347225.0,351732.0,380382.0,386347.0,378464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.0,21140.0,6661.0
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Musselroe Wind Farm Pty LTd,,F,TAS,2023,1836281.0,510078.0,163.0,176.0,339,0.0,On,NEM,Wind,,False,,,,,,,,,nger_only,5597.0,1.55,5073.0,5.7,62.3,356872.0,40.7,8.4,43.1,41.9,17134.0,16383.0,18875.0,18528.0,20297.0,18502.0,16300.0,13115.0,8165.0,8235.0,289124.0,4.8,5.3,5.6,5.4,5.1,6.5,7.0,6.4,5.9,13977.0,5.7,6.5,6.4,7.0,6.4,5.6,4.5,2.8,2.8,15236.0,16287.0,15682.0,14686.0,18844.0,20251.0,18627.0,16337.0,15766.0,17883.0,17353.0,19191.0,17350.0,15515.0,12278.0,7340.0,5586.0,284032.0,5.2,5.7,6.1,6.0,5.5,6.8,7.3,6.5,5.8,14908.0,5.6,6.3,6.1,6.8,6.1,5.5,4.3,2.6,2.0,16195.0,17295.0,17043.0,15703.0,19194.0,20664.0,18431.0,33471.0,32149.0,36758.0,35881.0,39488.0,35852.0,31815.0,25393.0,15505.0,13821.0,573738.0,5.0,5.5,5.9,5.7,5.3,6.6,7.1,6.5,5.8,28885.0,5.6,6.4,6.3,6.9,6.3,5.6,4.4,2.7,2.4,31431.0,33582.0,32725.0,30389.0,38038.0,40915.0,37058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,2356.0,827.0
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Woolnorth Bluff Point Wind Farm Pty Ltd,,F,TAS,2023,864159.0,240044.0,79.0,83.0,162,0.0,On,NEM,Wind,,False,,,,,,,,,nger_only,5597.0,1.55,5073.0,5.7,62.3,356872.0,40.7,8.4,43.1,41.9,17134.0,16383.0,18875.0,18528.0,20297.0,18502.0,16300.0,13115.0,8165.0,8235.0,289124.0,4.8,5.3,5.6,5.4,5.1,6.5,7.0,6.4,5.9,13977.0,5.7,6.5,6.4,7.0,6.4,5.6,4.5,2.8,2.8,15236.0,16287.0,15682.0,14686.0,18844.0,20251.0,18627.0,16337.0,15766.0,17883.0,17353.0,19191.0,17350.0,15515.0,12278.0,7340.0,5586.0,284032.0,5.2,5.7,6.1,6.0,5.5,6.8,7.3,6.5,5.8,14908.0,5.6,6.3,6.1,6.8,6.1,5.5,4.3,2.6,2.0,16195.0,17295.0,17043.0,15703.0,19194.0,20664.0,18431.0,33471.0,32149.0,36758.0,35881.0,39488.0,35852.0,31815.0,25393.0,15505.0,13821.0,573738.0,5.0,5.5,5.9,5.7,5.3,6.6,7.1,6.5,5.8,28885.0,5.6,6.4,6.3,6.9,6.3,5.6,4.4,2.7,2.4,31431.0,33582.0,32725.0,30389.0,38038.0,40915.0,37058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,2356.0,827.0
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Woolnorth Studland Bay Wind Farm Pty Ltd,,F,TAS,2023,907965.0,252212.0,175.0,86.0,261,0.0,On,NEM,Wind,,False,,,,,,,,,nger_only,5597.0,1.55,5073.0,5.7,62.3,356872.0,40.7,8.4,43.1,41.9,17134.0,16383.0,18875.0,18528.0,20297.0,18502.0,16300.0,13115.0,8165.0,8235.0,289124.0,4.8,5.3,5.6,5.4,5.1,6.5,7.0,6.4,5.9,13977.0,5.7,6.5,6.4,7.0,6.4,5.6,4.5,2.8,2.8,15236.0,16287.0,15682.0,14686.0,18844.0,20251.0,18627.0,16337.0,15766.0,17883.0,17353.0,19191.0,17350.0,15515.0,12278.0,7340.0,5586.0,284032.0,5.2,5.7,6.1,6.0,5.5,6.8,7.3,6.5,5.8,14908.0,5.6,6.3,6.1,6.8,6.1,5.5,4.3,2.6,2.0,16195.0,17295.0,17043.0,15703.0,19194.0,20664.0,18431.0,33471.0,32149.0,36758.0,35881.0,39488.0,35852.0,31815.0,25393.0,15505.0,13821.0,573738.0,5.0,5.5,5.9,5.7,5.3,6.6,7.1,6.5,5.8,28885.0,5.6,6.4,6.3,6.9,6.3,5.6,4.4,2.7,2.4,31431.0,33582.0,32725.0,30389.0,38038.0,40915.0,37058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,2356.0,827.0
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,,F,SA,2023,1115915.0,309976.0,126.0,207.0,333,0.0,On,NEM,Wind,,False,,,,,,,,,nger_only,18504.0,1.6,15499.0,5.4,63.1,1169444.0,39.4,1.9,41.7,40.5,58499.0,54236.0,59402.0,57302.0,59709.0,54177.0,49227.0,40323.0,26329.0,29201.0,936285.0,5.1,5.5,5.7,5.6,5.9,6.6,6.8,6.8,6.2,47658.0,5.8,6.3,6.1,6.4,5.8,5.3,4.3,2.8,3.1,51171.0,53338.0,52561.0,54783.0,61563.0,63302.0,63504.0,57065.0,53327.0,57948.0,55268.0,56156.0,49892.0,44434.0,35968.0,21639.0,19145.0,915999.0,5.5,5.9,6.2,6.1,6.5,7.0,6.9,6.8,6.2,50036.0,5.8,6.3,6.0,6.1,5.4,4.9,3.9,2.4,2.1,53924.0,56378.0,55446.0,59852.0,64172.0,63198.0,62151.0,115564.0,107563.0,117350.0,112570.0,115865.0,104069.0,93661.0,76291.0,47968.0,48346.0,1852972.0,5.3,5.7,5.9,5.8,6.2,6.8,6.8,6.8,6.2,97694.0,5.8,6.3,6.1,6.3,5.6,5.1,4.1,2.6,2.6,105095.0,109716.0,108007.0,114635.0,125735.0,126500.0,125655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,6765.0,2002.0
SNOWY HYDRO LIMITED,Angaston Power Station,,F,SA,2023,24134.0,6704.0,4429.0,315.0,4744,0.66,On,NEM,Diesel,,False,,,,,,,,,nger_only,18504.0,1.6,15499.0,5.4,63.1,1169444.0,39.4,1.9,41.7,40.5,58499.0,54236.0,59402.0,57302.0,59709.0,54177.0,49227.0,40323.0,26329.0,29201.0,936285.0,5.1,5.5,5.7,5.6,5.9,6.6,6.8,6.8,6.2,47658.0,5.8,6.3,6.1,6.4,5.8,5.3,4.3,2.8,3.1,51171.0,53338.0,52561.0,54783.0,61563.0,63302.0,63504.0,57065.0,53327.0,57948.0,55268.0,56156.0,49892.0,44434.0,35968.0,21639.0,19145.0,915999.0,5.5,5.9,6.2,6.1,6.5,7.0,6.9,6.8,6.2,50036.0,5.8,6.3,6.0,6.1,5.4,4.9,3.9,2.4,2.1,53924.0,56378.0,55446.0,59852.0,64172.0,63198.0,62151.0,115564.0,107563.0,117350.0,112570.0,115865.0,104069.0,93661.0,76291.0,47968.0,48346.0,1852972.0,5.3,5.7,5.9,5.8,6.2,6.8,6.8,6.8,6.2,97694.0,5.8,6.3,6.1,6.3,5.6,5.1,4.1,2.6,2.6,105095.0,109716.0,108007.0,114635.0,125735.0,126500.0,125655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,6765.0,2002.0
SNOWY HYDRO LIMITED,Colongra Power Station,,F,NSW,2023,763754.0,212154.0,130638.0,5465.0,136103,0.62,On,NEM,Gas,,False,,,,,,,,,nger_only,91947.0,1.68,59451.0,5.3,64.6,5387800.0,37.5,10.4,39.4,38.4,278726.0,253974.0,263132.0,239534.0,245991.0,218871.0,189891.0,154521.0,101670.0,112480.0,4193144.0,5.6,5.8,6.0,5.8,6.2,7.0,7.4,7.2,6.6,233030.0,6.1,6.3,5.7,5.9,5.2,4.5,3.7,2.4,2.7,242252.0,250328.0,241341.0,261412.0,295335.0,309991.0,300665.0,275004.0,248070.0,254255.0,231764.0,233688.0,202430.0,175147.0,143006.0,86957.0,74326.0,4149141.0,6.0,6.2,6.4,6.3,6.9,7.3,7.4,7.2,6.6,246913.0,6.0,6.1,5.6,5.6,4.9,4.2,3.4,2.1,1.8,256717.0,265946.0,259782.0,287995.0,303869.0,306404.0,296868.0,553730.0,502044.0,517387.0,471298.0,479679.0,421301.0,365038.0,297527.0,188627.0,186806.0,8341199.0,5.8,6.0,6.2,6.0,6.6,7.2,7.4,7.2,6.6,479943.0,6.0,6.2,5.6,5.7,5.1,4.4,3.6,2.3,2.2,498969.0,516274.0,501123.0,549407.0,599204.0,616395.0,597533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0,20181.0,7855.0
SNOWY HYDRO LIMITED,HEZ Power Station,,F,NSW,2023,2617.0,727.0,403.0,581.0,984,0.55,On,NEM,Gas,,False,,,,,,,,,nger_only,91947.0,1.68,59451.0,5.3,64.6,5387800.0,37.5,10.4,39.4,38.4,278726.0,253974.0,263132.0,239534.0,245991.0,218871.0,189891.0,154521.0,101670.0,112480.0,4193144.0,5.6,5.8,6.0,5.8,6.2,7.0,7.4,7.2,6.6,233030.0,6.1,6.3,5.7,5.9,5.2,4.5,3.7,2.4,2.7,242252.0,250328.0,241341.0,261412.0,295335.0,309991.0,300665.0,275004.0,248070.0,254255.0,231764.0,233688.0,202430.0,175147.0,143006.0,86957.0,74326.0,4149141.0,6.0,6.2,6.4,6.3,6.9,7.3,7.4,7.2,6.6,246913.0,6.0,6.1,5.6,5.6,4.9,4.2,3.4,2.1,1.8,256717.0,265946.0,259782.0,287995.0,303869.0,306404.0,296868.0,553730.0,502044.0,517387.0,471298.0,479679.0,421301.0,365038.0,297527.0,188627.0,186806.0,8341199.0,5.8,6.0,6.2,6.0,6.6,7.2,7.4,7.2,6.6,479943.0,6.0,6.2,5.6,5.7,5.1,4.4,3.6,2.3,2.2,498969.0,516274.0,501123.0,549407.0,599204.0,616395.0,597533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0,20181.0,7855.0
SNOWY HYDRO LIMITED,Laverton North Power Station,,F,VIC,2023,382723.0,106312.0,69967.0,3059.0,73026,0.66,On,NEM,Gas,,False,,,,,,,,,nger_only,71889.0,1.49,45326.0,5.2,65.7,4480278.0,36.9,30.0,38.7,37.8,234154.0,209030.0,217735.0,195456.0,192342.0,170944.0,148991.0,120630.0,79695.0,88018.0,3445049.0,5.5,5.8,5.8,5.7,6.4,7.4,7.8,7.6,6.8,189885.0,6.1,6.3,5.7,5.6,5.0,4.3,3.5,2.3,2.6,198801.0,199241.0,195250.0,219400.0,253416.0,270377.0,261684.0,230326.0,203291.0,206574.0,185587.0,179940.0,155541.0,133032.0,107597.0,66947.0,57541.0,3370392.0,5.9,6.2,6.2,6.1,7.0,7.8,7.8,7.7,6.8,198024.0,6.0,6.1,5.5,5.3,4.6,3.9,3.2,2.0,1.7,210190.0,210086.0,206823.0,234777.0,262471.0,263536.0,258109.0,464480.0,412321.0,424309.0,381043.0,372282.0,326485.0,282023.0,228227.0,146642.0,145559.0,6816241.0,5.7,6.0,6.0,5.9,6.7,7.6,7.8,7.6,6.8,387909.0,6.0,6.2,5.6,5.5,4.8,4.1,3.3,2.2,2.1,408991.0,409327.0,402073.0,454177.0,515887.0,533913.0,519793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,13718.0,4872.0
