reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,year,controlling_corporation,is_summary,geo_query,latitude,longitude,place_id,formatted_address,geocode_status
APT PIPELINES LIMITED,Badgingarra Wind Farm,F,WA,1764569.0,490158.0,90.0,353.0,443,0.0,On,SWIS,Wind,2020,,False,"Badgingarra Wind Farm, WA, Australia",,,,,
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,764306.0,212307.0,109246.0,80.0,109326,0.51,On,NEM,Coal Seam Methane,2020,,False,"Daandine Power Station, QLD, Australia",,,,,
APT PIPELINES LIMITED,Darling Downs Solar Farm,F,QLD,871353.0,242043.0,461.0,727.0,1188,0.0,On,NEM,Wind,2020,,False,"Darling Downs Solar Farm, QLD, Australia",,,,,
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,6168352.0,1713431.0,701504.0,131.0,701635,0.41,On,Mt Isa,Gas,2020,,False,"Diamantina Power Station, QLD, Australia",,,,,
APT PIPELINES LIMITED,Emu Downs Solar Farm,F,WA,177976.0,49438.0,11.0,67.0,78,0.0,On,SWIS,Solar,2020,,False,"Emu Downs Solar Farm, WA, Australia",,,,,
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,876726.0,243535.0,79.0,275.0,354,0.0,On,SWIS,Wind,2020,,False,"Emu Downs Wind Farm, WA, Australia",,,,,
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,1242201.0,345056.0,206961.0,4612.0,211573,0.6,On,NEM,Coal Seam Methane,2020,,False,"Braemar 2 Power Station, QLD, Australia",,,,,
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,351776.0,97715.0,70699.0,164.0,70863,0.72,On,NWIS,Gas,2020,,False,"Karratha Power Station, WA, Australia",,,,,
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,2613839.0,726066.0,299328.0,2698.0,302026,0.41,On,NEM,Gas,2020,,False,"Osborne facility, SA, Australia",,,,,
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,2231783.0,619940.0,19.0,1397.0,1416,0.0,On,NEM,Wind,2020,,False,"Facility, VIC, Australia",,,,,
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,1183663.0,328795.0,92.0,648.0,740,0.0,On,NEM,Wind,2020,,False,"Bald Hills Wind Farm Pty Ltd, VIC, Australia",,,,,
