facility_name,state,capacity_mw,fuel_source,accreditation_code,accreditation_start_date,approval_date,committed_date,project_status
Goyder North Wind Farm Stage 1,SA,300.0,Wind,,,,,probable
Guthrie's Gap Solar Power Station,QLD,300.0,Solar,,,,,probable
Hexham Wind Farm,VIC,600.0,Wind,,,,,probable
Hopeland Solar Farm,QLD,250.0,Solar,,,,,probable
Junction Rivers Wind Farm,NSW,585.0,Wind,,,,,probable
Kalgoorlie Regional Renewable Energy Project (Solar),WA,138.0,Solar,,,,,probable
Kalgoorlie Regional Renewable Energy Project (Wind),WA,256.0,Wind,,,,,probable
Kentbruck Green Power Hub,VIC,600.0,Wind,,,,,probable
Kiamal Solar Farm - Stage 2,VIC,150.0,Solar,,,,,probable
Kidston Stage 3 Wind Project,QLD,120.0,Wind,,,,,probable
Lakeland Wind Farm,QLD,100.0,Wind,,,,,probable
Liverpool Range Wind Stage 1,NSW,634.0,Wind,,,,,probable
Lower Wonga Solar Farm project,QLD,281.0,Solar,,,,,probable
Majors Creek Solar Farm,QLD,150.0,Solar,,,,,probable
Merino Solar Farm,NSW,450.0,Solar,,,,,probable
Middlebrook Solar Farm,NSW,363.0,Solar,,,,,probable
Moah Creek Wind Farm,QLD,360.0,Wind,,,,,probable
Mount Hopeful Wind Farm,QLD,350.0,Wind,,,,,probable
Northern Midlands Solar Farm,TAS,288.0,Solar,,,,,probable
Nowingi Solar Power Station,VIC,300.0,Solar,,,,,probable
Port Augusta Energy Park Stage 2,SA,300.0,Solar,,,,,probable
Punchs Creek Solar Farm,QLD,400.0,Solar,,,,,probable
Sandy Creek Solar Farm,NSW,700.0,Solar,,,,,probable
Silverleaf Solar Farm,NSW,120.0,Solar,,,,,probable
Smoky Creek Solar Power Station,QLD,300.0,Solar,,,,,probable
Spicers Creek Wind Farm,NSW,700.0,Wind,,,,,probable
Tallawang Solar Farm,NSW,500.0,Solar,,,,,probable
Theodore Wind Farm,QLD,1152.0,Wind,,,,,probable
Thunderbolt Wind Farm stage 1,NSW,230.0,Wind,,,,,probable
Upper Calliope Solar Farm,QLD,1100.0,Solar,,,,,probable
Vales Point Solar Farm,NSW,62.0,Solar,,,,,probable
Valley of the Winds,NSW,936.0,Wind,,,,,probable
Waroona Solar Farm,WA,120.0,Solar,,,,,probable
West Mokoan Solar Farm,VIC,300.0,Solar,,,,,probable
Willogoleche 2 Wind Farm,SA,108.0,Wind,,,,,probable
Winton North Solar Farm,VIC,100.0,Solar,,,,,probable
Woolsthorpe Wind Farm,VIC,70.0,Wind,,,,,probable
