measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
ERP_M_19: Estimated resident population:Males aged 85 and over (no.),2022,39484.0,PSNS: Persons,QLD,2022
ERP_M_19: Estimated resident population:Males aged 85 and over (no.),2023,41336.0,PSNS: Persons,QLD,2023
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2019,4.9,PCT: Percent,NSW,2019
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2020,5.0,PCT: Percent,NSW,2020
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2021,5.0,PCT: Percent,NSW,2021
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2022,5.1,PCT: Percent,NSW,2022
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2023,5.1,PCT: Percent,NSW,2023
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2016,10.5,PCT: Percent,NT,2016
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2021,5.8,PCT: Percent,NT,2021
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2019,6.8,PCT: Percent,QLD,2019
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2020,6.9,PCT: Percent,QLD,2020
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2021,7.0,PCT: Percent,QLD,2021
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2022,7.0,PCT: Percent,QLD,2022
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2023,6.9,PCT: Percent,QLD,2023
ING_DISAB3: Aboriginal and Torres Strait Islander Peoples:Disability status: Schooling/employment restriction only (no.),2019,3845.0,PSNS: Persons,NT,2019
ING_VOLWP1: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (no.),2016,18300.0,PSNS: Persons,QLD,2016
ING_VOLWP1: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (no.),2021,16824.0,PSNS: Persons,QLD,2021
BD_2: Registered births (no.),2018,61931.0,PSNS: Persons,QLD,2018
BD_2: Registered births (no.),2019,61735.0,PSNS: Persons,QLD,2019
BD_2: Registered births (no.),2020,59490.0,PSNS: Persons,QLD,2020
BD_2: Registered births (no.),2021,64111.0,PSNS: Persons,QLD,2021
BD_2: Registered births (no.),2022,62094.0,PSNS: Persons,QLD,2022
BD_2: Registered births (no.),2023,58458.0,PSNS: Persons,QLD,2023
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2019,5.8,PCT: Percent,OT,2019
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2020,5.2,PCT: Percent,OT,2020
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2021,5.0,PCT: Percent,OT,2021
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2022,4.4,PCT: Percent,OT,2022
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2023,3.8,PCT: Percent,OT,2023
ING_M3544: Estimated resident Aboriginal and Torres Strait Islander population:Males aged 35-44 years (no.),2021,1647.0,PSNS: Persons,TAS,2021
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2019,23218.0,PSNS: Persons,SA,2019
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2020,24122.0,PSNS: Persons,SA,2020
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2021,24891.0,PSNS: Persons,SA,2021
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2022,25544.0,PSNS: Persons,SA,2022
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2023,26329.0,PSNS: Persons,SA,2023
ERP_17: Working age population (persons aged 15-64 years) (%),2019,65.1,PCT: Percent,NSW,2019
ERP_17: Working age population (persons aged 15-64 years) (%),2020,64.8,PCT: Percent,NSW,2020
ERP_17: Working age population (persons aged 15-64 years) (%),2021,64.3,PCT: Percent,NSW,2021
ERP_17: Working age population (persons aged 15-64 years) (%),2022,64.3,PCT: Percent,NSW,2022
ERP_17: Working age population (persons aged 15-64 years) (%),2023,64.6,PCT: Percent,NSW,2023
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2019,4.1,PCT: Percent,OT,2019
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2020,4.0,PCT: Percent,OT,2020
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2021,4.0,PCT: Percent,OT,2021
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2022,4.6,PCT: Percent,OT,2022
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2023,5.1,PCT: Percent,OT,2023
ING_P3544: Estimated resident Aboriginal and Torres Strait Islander population aged 35-44 years (no.),2021,18.0,PSNS: Persons,OT,2021
ERP_P_30: Estimated resident population:Persons aged 45-49 years (%),2022,6.2,PCT: Percent,NSW,2022
ERP_P_30: Estimated resident population:Persons aged 45-49 years (%),2023,6.0,PCT: Percent,NSW,2023
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2019,217330.0,PSNS: Persons,NSW,2019
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2020,223003.0,PSNS: Persons,NSW,2020
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2021,226979.0,PSNS: Persons,NSW,2021
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2022,230524.0,PSNS: Persons,NSW,2022
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2023,233688.0,PSNS: Persons,NSW,2023
ING_LABF: Aboriginal and Torres Strait Islander Peoples:In the labour force (no.),2016,64962.0,PSNS: Persons,QLD,2016
ING_LABF: Aboriginal and Torres Strait Islander Peoples:In the labour force (no.),2021,87254.0,PSNS: Persons,QLD,2021
ERP_P_30: Estimated resident population:Persons aged 45-49 years (%),2019,6.6,PCT: Percent,NSW,2019
ERP_P_30: Estimated resident population:Persons aged 45-49 years (%),2020,6.5,PCT: Percent,NSW,2020
ERP_P_30: Estimated resident population:Persons aged 45-49 years (%),2021,6.4,PCT: Percent,NSW,2021
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2019,7.7,PCT: Percent,OT,2019
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2020,8.0,PCT: Percent,OT,2020
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2021,7.9,PCT: Percent,OT,2021
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2022,8.2,PCT: Percent,OT,2022
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2023,8.1,PCT: Percent,OT,2023
ING_UNEMP1: Aboriginal and Torres Strait Islander Peoples:Unemployed (no.),2016,5190.0,PSNS: Persons,WA,2016
ING_UNEMP1: Aboriginal and Torres Strait Islander Peoples:Unemployed (no.),2021,4632.0,PSNS: Persons,WA,2021
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2019,6.9,PCT: Percent,QLD,2019
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2020,7.0,PCT: Percent,QLD,2020
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2021,7.0,PCT: Percent,QLD,2021
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2022,6.9,PCT: Percent,QLD,2022
ERP_M_23: Estimated resident population:Males aged 10-14 years (%),2023,6.8,PCT: Percent,QLD,2023
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2019,49924.0,PSNS: Persons,SA,2019
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2020,49548.0,PSNS: Persons,SA,2020
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2021,48961.0,PSNS: Persons,SA,2021
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2022,50396.0,PSNS: Persons,SA,2022
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2023,52561.0,PSNS: Persons,SA,2023
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2016,20.9,PCT: Percent,ACT,2016
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2021,15.1,PCT: Percent,ACT,2021
ERP_F_31: Estimated resident population:Females aged 50-54 years (%),2019,6.3,PCT: Percent,SA,2019
ERP_F_31: Estimated resident population:Females aged 50-54 years (%),2020,6.3,PCT: Percent,SA,2020
ERP_F_31: Estimated resident population:Females aged 50-54 years (%),2021,6.4,PCT: Percent,SA,2021
ERP_F_31: Estimated resident population:Females aged 50-54 years (%),2022,6.4,PCT: Percent,SA,2022
ERP_F_31: Estimated resident population:Females aged 50-54 years (%),2023,6.3,PCT: Percent,SA,2023
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2019,6.3,PCT: Percent,TAS,2019
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2020,6.5,PCT: Percent,TAS,2020
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2021,6.8,PCT: Percent,TAS,2021
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2022,6.9,PCT: Percent,TAS,2022
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2023,7.0,PCT: Percent,TAS,2023
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2019,8.0,PCT: Percent,OT,2019
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2020,7.4,PCT: Percent,OT,2020
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2021,7.5,PCT: Percent,OT,2021
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2022,7.3,PCT: Percent,OT,2022
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2023,6.7,PCT: Percent,OT,2023
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2019,6.8,PCT: Percent,WA,2019
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2020,6.7,PCT: Percent,WA,2020
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2021,6.7,PCT: Percent,WA,2021
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2022,6.7,PCT: Percent,WA,2022
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2023,6.6,PCT: Percent,WA,2023
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2019,62.0,PSNS: Persons,OT,2019
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2020,62.0,PSNS: Persons,OT,2020
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2021,71.0,PSNS: Persons,OT,2021
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2022,74.0,PSNS: Persons,OT,2022
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2023,83.0,PSNS: Persons,OT,2023
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2019,6.3,PCT: Percent,WA,2019
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2020,6.2,PCT: Percent,WA,2020
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2021,6.0,PCT: Percent,WA,2021
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2022,5.9,PCT: Percent,WA,2022
ERP_F_21: Estimated resident population:Females aged 0-4 years (%),2023,5.7,PCT: Percent,WA,2023
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2019,11683.0,PSNS: Persons,NT,2019
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2020,11599.0,PSNS: Persons,NT,2020
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2021,11468.0,PSNS: Persons,NT,2021
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2022,11695.0,PSNS: Persons,NT,2022
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2023,11809.0,PSNS: Persons,NT,2023
ING_WA1: Estimated resident Aboriginal and Torres Strait Islander population:Working age (15-64 years) (no.),2021,204377.0,PSNS: Persons,NSW,2021
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2019,94696.0,PSNS: Persons,QLD,2019
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2020,100022.0,PSNS: Persons,QLD,2020
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2021,105041.0,PSNS: Persons,QLD,2021
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2022,110786.0,PSNS: Persons,QLD,2022
ERP_P_18: Estimated resident population:Persons aged 80-84 years (no.),2023,116090.0,PSNS: Persons,QLD,2023
ING_LANG2: Aboriginal and Torres Strait Islander Peoples:Speaks English at home (%),2016,96.5,PCT: Percent,VIC,2016
ING_LANG2: Aboriginal and Torres Strait Islander Peoples:Speaks English at home (%),2021,95.9,PCT: Percent,VIC,2021
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2019,50989.0,PSNS: Persons,SA,2019
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2020,50354.0,PSNS: Persons,SA,2020
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2021,49838.0,PSNS: Persons,SA,2021
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2022,50053.0,PSNS: Persons,SA,2022
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2023,50036.0,PSNS: Persons,SA,2023
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2019,520.0,NUM: Number,VIC,2019
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2020,504.0,NUM: Number,VIC,2020
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2021,444.0,NUM: Number,VIC,2021
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2022,471.0,NUM: Number,VIC,2022
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2023,470.0,NUM: Number,VIC,2023
PENSION_3: Government pensions and allowances:Age pension:Department of Veterans' Affairs (no.),2024,470.0,NUM: Number,VIC,2024
ING_MA_P: Estimated resident Aboriginal and Torres Strait Islander population:Median age:Persons (years),2021,42.8,YR: Years,OT,2021
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2019,2.8,PCT: Percent,OT,2019
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2020,3.5,PCT: Percent,OT,2020
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2021,3.5,PCT: Percent,OT,2021
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2022,3.5,PCT: Percent,OT,2022
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2023,3.5,PCT: Percent,OT,2023
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2019,260244.0,PSNS: Persons,NSW,2019
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2020,261043.0,PSNS: Persons,NSW,2020
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2021,256646.0,PSNS: Persons,NSW,2021
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2022,250766.0,PSNS: Persons,NSW,2022
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2023,248070.0,PSNS: Persons,NSW,2023
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2019,367.0,PSNS: Persons,OT,2019
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2020,383.0,PSNS: Persons,OT,2020
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2021,382.0,PSNS: Persons,OT,2021
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2022,402.0,PSNS: Persons,OT,2022
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2023,401.0,PSNS: Persons,OT,2023
ING_TTYPE4: Aboriginal and Torres Strait Islander Peoples:Tenure type:Renter (%),2016,71.5,PCT: Percent,OT,2016
ING_TTYPE4: Aboriginal and Torres Strait Islander Peoples:Tenure type:Renter (%),2021,59.8,PCT: Percent,OT,2021
ERP_F_37: Estimated resident population:Females aged 80-84 years (%),2019,2.6,PCT: Percent,TAS,2019
ERP_F_37: Estimated resident population:Females aged 80-84 years (%),2020,2.6,PCT: Percent,TAS,2020
ERP_F_37: Estimated resident population:Females aged 80-84 years (%),2021,2.7,PCT: Percent,TAS,2021
ERP_F_37: Estimated resident population:Females aged 80-84 years (%),2022,2.8,PCT: Percent,TAS,2022
ERP_F_37: Estimated resident population:Females aged 80-84 years (%),2023,2.8,PCT: Percent,TAS,2023
ERP_M_8: Estimated resident population:Males aged 30-34 years (no.),2019,11691.0,PSNS: Persons,NT,2019
ERP_M_8: Estimated resident population:Males aged 30-34 years (no.),2020,11718.0,PSNS: Persons,NT,2020
ERP_M_8: Estimated resident population:Males aged 30-34 years (no.),2021,11659.0,PSNS: Persons,NT,2021
ERP_M_8: Estimated resident population:Males aged 30-34 years (no.),2022,11905.0,PSNS: Persons,NT,2022
ERP_M_8: Estimated resident population:Males aged 30-34 years (no.),2023,12029.0,PSNS: Persons,NT,2023
ERP_P_9: Estimated resident population:Persons aged 35-39 years (no.),2019,32289.0,PSNS: Persons,TAS,2019
ERP_P_9: Estimated resident population:Persons aged 35-39 years (no.),2020,34063.0,PSNS: Persons,TAS,2020
ERP_P_9: Estimated resident population:Persons aged 35-39 years (no.),2021,35475.0,PSNS: Persons,TAS,2021
ERP_P_9: Estimated resident population:Persons aged 35-39 years (no.),2022,36285.0,PSNS: Persons,TAS,2022
ERP_P_9: Estimated resident population:Persons aged 35-39 years (no.),2023,37058.0,PSNS: Persons,TAS,2023
ING_LTHC4: Aboriginal and Torres Strait Islander Peoples:Three or more long-term health conditions (no.),2019,109503.0,PSNS: Persons,NSW,2019
ING_M55OVER: Estimated resident Aboriginal and Torres Strait Islander population:Males aged 55 years and over (no.),2021,3964.0,PSNS: Persons,NT,2021
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2019,5.4,PCT: Percent,WA,2019
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2020,5.5,PCT: Percent,WA,2020
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2021,5.6,PCT: Percent,WA,2021
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2022,5.6,PCT: Percent,WA,2022
ERP_P_33: Estimated resident population:Persons aged 60-64 years (%),2023,5.6,PCT: Percent,WA,2023
ING_LFSP1: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years)(no.),2016,38701.0,PSNS: Persons,QLD,2016
ING_LFSP1: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years)(no.),2021,55777.0,PSNS: Persons,QLD,2021
ING_LANG1: Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),2016,1.9,PCT: Percent,ACT,2016
ING_LANG1: Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),2021,3.0,PCT: Percent,ACT,2021
ERP_M_29: Estimated resident population:Males aged 40-44 years (%),2019,6.4,PCT: Percent,VIC,2019
ERP_M_29: Estimated resident population:Males aged 40-44 years (%),2020,6.4,PCT: Percent,VIC,2020
ERP_M_29: Estimated resident population:Males aged 40-44 years (%),2021,6.5,PCT: Percent,VIC,2021
ERP_M_29: Estimated resident population:Males aged 40-44 years (%),2022,6.7,PCT: Percent,VIC,2022
ERP_M_29: Estimated resident population:Males aged 40-44 years (%),2023,6.8,PCT: Percent,VIC,2023
ING_DISAB4: Aboriginal and Torres Strait Islander Peoples:Disability status: No limitation or specific restriction (no.),2019,12809.0,PSNS: Persons,WA,2019
ERP_17: Working age population (persons aged 15-64 years) (%),2019,65.6,PCT: Percent,OT,2019
ERP_17: Working age population (persons aged 15-64 years) (%),2020,64.8,PCT: Percent,OT,2020
ERP_17: Working age population (persons aged 15-64 years) (%),2021,63.7,PCT: Percent,OT,2021
ERP_17: Working age population (persons aged 15-64 years) (%),2022,63.5,PCT: Percent,OT,2022
ERP_17: Working age population (persons aged 15-64 years) (%),2023,62.8,PCT: Percent,OT,2023
ING_HOSD10: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring four or more additional bedrooms (%),2016,22.7,PCT: Percent,NT,2016
ING_HOSD10: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring four or more additional bedrooms (%),2021,18.5,PCT: Percent,NT,2021
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2016,48.3,PCT: Percent,NSW,2016
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2021,54.1,PCT: Percent,NSW,2021
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2019,447489.0,PSNS: Persons,NSW,2019
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2020,460119.0,PSNS: Persons,NSW,2020
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2021,467296.0,PSNS: Persons,NSW,2021
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2022,473666.0,PSNS: Persons,NSW,2022
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2023,479679.0,PSNS: Persons,NSW,2023
ING_USP4: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is preferred health service provider (%),2019,25.8,PCT: Percent,TAS,2019
ING_LFSP1: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years)(no.),2016,6443.0,PSNS: Persons,SA,2016
ING_LFSP1: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years)(no.),2021,8990.0,PSNS: Persons,SA,2021
ING_UPCC2: Aboriginal and Torres Strait Islander Peoples:Cared for own child/children (%),2016,21.5,PCT: Percent,QLD,2016
ING_UPCC2: Aboriginal and Torres Strait Islander Peoples:Cared for own child/children (%),2021,20.6,PCT: Percent,QLD,2021
ERP_F_20: Estimated resident population:Females (no.),2019,2240.0,PSNS: Persons,OT,2019
ERP_F_20: Estimated resident population:Females (no.),2020,2252.0,PSNS: Persons,OT,2020
ERP_F_20: Estimated resident population:Females (no.),2021,2285.0,PSNS: Persons,OT,2021
ERP_F_20: Estimated resident population:Females (no.),2022,2325.0,PSNS: Persons,OT,2022
ERP_F_20: Estimated resident population:Females (no.),2023,2346.0,PSNS: Persons,OT,2023
ING_HLTC2: Aboriginal and Torres Strait Islander Peoples:Recognises and lives in homelands/traditional country (%),2015,14.3,PCT: Percent,SA,2015
ING_HLTC2: Aboriginal and Torres Strait Islander Peoples:Recognises and lives in homelands/traditional country (%),2019,14.3,PCT: Percent,SA,2019
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2019,10165.0,PSNS: Persons,TAS,2019
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2020,10735.0,PSNS: Persons,TAS,2020
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2021,11291.0,PSNS: Persons,TAS,2021
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2022,12275.0,PSNS: Persons,TAS,2022
ERP_F_17: Estimated resident population:Females aged 75-79 years (no.),2023,13115.0,PSNS: Persons,TAS,2023
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2019,155494.0,PSNS: Persons,WA,2019
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2020,156751.0,PSNS: Persons,WA,2020
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2021,158798.0,PSNS: Persons,WA,2021
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2022,165222.0,PSNS: Persons,WA,2022
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2023,174539.0,PSNS: Persons,WA,2023
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2019,145922.0,PSNS: Persons,QLD,2019
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2020,155702.0,PSNS: Persons,QLD,2020
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2021,165688.0,PSNS: Persons,QLD,2021
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2022,180830.0,PSNS: Persons,QLD,2022
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2023,193773.0,PSNS: Persons,QLD,2023
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2021,517361.0,PSNS: Persons,NSW,2021
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2022,506422.0,PSNS: Persons,NSW,2022
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2023,502044.0,PSNS: Persons,NSW,2023
ING_F1524: Estimated resident Aboriginal and Torres Strait Islander population:Females aged 15-24 years (no.),2021,25218.0,PSNS: Persons,QLD,2021
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2019,6.7,PCT: Percent,ACT,2019
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2020,6.5,PCT: Percent,ACT,2020
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2021,6.2,PCT: Percent,ACT,2021
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2022,6.0,PCT: Percent,ACT,2022
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2023,5.9,PCT: Percent,ACT,2023
ING_EMP1: Aboriginal and Torres Strait Islander Peoples:Employed (no.),2016,54.0,PSNS: Persons,OT,2016
ING_EMP1: Aboriginal and Torres Strait Islander Peoples:Employed (no.),2021,47.0,PSNS: Persons,OT,2021
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2019,527170.0,PSNS: Persons,NSW,2019
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2020,527499.0,PSNS: Persons,NSW,2020
ERP_M_26: Estimated resident population:Males aged 25-29 years (%),2019,7.1,PCT: Percent,WA,2019
ERP_M_26: Estimated resident population:Males aged 25-29 years (%),2020,7.0,PCT: Percent,WA,2020
ERP_M_26: Estimated resident population:Males aged 25-29 years (%),2021,6.8,PCT: Percent,WA,2021
ERP_M_26: Estimated resident population:Males aged 25-29 years (%),2022,6.8,PCT: Percent,WA,2022
ERP_M_26: Estimated resident population:Males aged 25-29 years (%),2023,7.1,PCT: Percent,WA,2023
ING_LFPR: Aboriginal and Torres Strait Islander Peoples:Labour force participation rate (%),2016,51.5,PCT: Percent,WA,2016
ING_LFPR: Aboriginal and Torres Strait Islander Peoples:Labour force participation rate (%),2021,54.7,PCT: Percent,WA,2021
ING_EMP1: Aboriginal and Torres Strait Islander Peoples:Employed (no.),2016,2735.0,PSNS: Persons,ACT,2016
ING_EMP1: Aboriginal and Torres Strait Islander Peoples:Employed (no.),2021,4012.0,PSNS: Persons,ACT,2021
ING_1564: Aboriginal and Torres Strait Islander Peoples:Total Census responding population aged 15-64 years (no.),2016,34999.0,PSNS: Persons,NT,2016
ING_1564: Aboriginal and Torres Strait Islander Peoples:Total Census responding population aged 15-64 years (no.),2021,39084.0,PSNS: Persons,NT,2021
ING_HOSD5: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (no.),2016,7408.0,PSNS: Persons,QLD,2016
ING_HOSD5: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (no.),2021,8638.0,PSNS: Persons,QLD,2021
LAND: Land area (ha),2021,134813449.3,HA: Hectares,NT,2021
ERP_M_20: Estimated resident population:Males (no.),2019,2521333.0,PSNS: Persons,QLD,2019
ERP_M_20: Estimated resident population:Males (no.),2020,2558538.0,PSNS: Persons,QLD,2020
ERP_M_20: Estimated resident population:Males (no.),2021,2585543.0,PSNS: Persons,QLD,2021
ERP_M_20: Estimated resident population:Males (no.),2022,2635789.0,PSNS: Persons,QLD,2022
ERP_M_20: Estimated resident population:Males (no.),2023,2704203.0,PSNS: Persons,QLD,2023
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2016,90.8,PCT: Percent,ACT,2016
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2021,92.7,PCT: Percent,ACT,2021
