measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
ERP_M_27: Estimated resident population:Males aged 30-34 years (%),2022,9.4,PCT: Percent,NT,2022
ERP_M_27: Estimated resident population:Males aged 30-34 years (%),2023,9.4,PCT: Percent,NT,2023
ERP_F_3: Estimated resident population:Females aged 5-9 years (no.),2019,13849.0,PSNS: Persons,ACT,2019
ERP_F_3: Estimated resident population:Females aged 5-9 years (no.),2020,14146.0,PSNS: Persons,ACT,2020
ERP_F_3: Estimated resident population:Females aged 5-9 years (no.),2021,14254.0,PSNS: Persons,ACT,2021
ERP_F_3: Estimated resident population:Females aged 5-9 years (no.),2022,14128.0,PSNS: Persons,ACT,2022
ERP_F_3: Estimated resident population:Females aged 5-9 years (no.),2023,13886.0,PSNS: Persons,ACT,2023
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2019,1.4,PCT: Percent,QLD,2019
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2020,1.4,PCT: Percent,QLD,2020
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2021,1.5,PCT: Percent,QLD,2021
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2022,1.5,PCT: Percent,QLD,2022
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2023,1.5,PCT: Percent,QLD,2023
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2019,182686.0,PSNS: Persons,QLD,2019
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2020,183037.0,PSNS: Persons,QLD,2020
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2021,179078.0,PSNS: Persons,QLD,2021
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2022,179776.0,PSNS: Persons,QLD,2022
ERP_F_7: Estimated resident population:Females aged 25-29 years (no.),2023,189739.0,PSNS: Persons,QLD,2023
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2021,13038.0,PSNS: Persons,ACT,2021
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2022,12721.0,PSNS: Persons,ACT,2022
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2023,12746.0,PSNS: Persons,ACT,2023
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2019,9.9,PCT: Percent,NT,2019
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2020,9.7,PCT: Percent,NT,2020
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2021,9.8,PCT: Percent,NT,2021
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2022,9.9,PCT: Percent,NT,2022
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2023,10.0,PCT: Percent,NT,2023
"ING_EETP3: Aboriginal and Torres Strait Islander Peoples:Not engaged in employment, education or training (%)",2016,44.6,PCT: Percent,SA,2016
"ING_EETP3: Aboriginal and Torres Strait Islander Peoples:Not engaged in employment, education or training (%)",2021,43.8,PCT: Percent,SA,2021
ERP_P_20: Estimated resident population: Persons (no.),2019,547841.0,PSNS: Persons,TAS,2019
ERP_P_20: Estimated resident population: Persons (no.),2020,557578.0,PSNS: Persons,TAS,2020
ERP_P_20: Estimated resident population: Persons (no.),2021,567239.0,PSNS: Persons,TAS,2021
ERP_P_20: Estimated resident population: Persons (no.),2022,571051.0,PSNS: Persons,TAS,2022
ERP_P_20: Estimated resident population: Persons (no.),2023,573738.0,PSNS: Persons,TAS,2023
ERP_P_20: Estimated resident population: Persons (no.),2024,575496.0,PSNS: Persons,TAS,2024
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2019,12566.0,PSNS: Persons,ACT,2019
ERP_F_5: Estimated resident population:Females aged 15-19 years (no.),2020,12401.0,PSNS: Persons,ACT,2020
ING_DISAB2: Aboriginal and Torres Strait Islander Peoples:Disability status: Moderate/mild core activity limitation (no.),2019,1245.0,PSNS: Persons,ACT,2019
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2019,29435.0,PSNS: Persons,ACT,2019
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2020,30434.0,PSNS: Persons,ACT,2020
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2021,31684.0,PSNS: Persons,ACT,2021
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2022,32853.0,PSNS: Persons,ACT,2022
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2023,34261.0,PSNS: Persons,ACT,2023
ING_WA2: Estimated resident Aboriginal and Torres Strait Islander population:Working age (15-64 years) (%),2021,63.0,PCT: Percent,WA,2021
ING_VOLWP1: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (no.),2016,5878.0,PSNS: Persons,VIC,2016
ING_VOLWP1: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (no.),2021,5840.0,PSNS: Persons,VIC,2021
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2016,15.2,PCT: Percent,QLD,2016
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2021,10.7,PCT: Percent,QLD,2021
ING_MA_P: Estimated resident Aboriginal and Torres Strait Islander population:Median age:Persons (years),2021,23.4,YR: Years,NSW,2021
ING_UNEMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force unemployed,2016,7.9,PCT: Percent,OT,2016
ING_UNEMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force unemployed,2021,5.7,PCT: Percent,OT,2021
ING_EMP1: Aboriginal and Torres Strait Islander Peoples:Employed (no.),2016,15062.0,PSNS: Persons,VIC,2016
ING_EMP1: Aboriginal and Torres Strait Islander Peoples:Employed (no.),2021,22984.0,PSNS: Persons,VIC,2021
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2016,65.2,PCT: Percent,ACT,2016
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2021,68.7,PCT: Percent,ACT,2021
