facility_name,state,capacity_mw,fuel_source,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,project_status
Campbells Forest Solar Farm,VIC,205.000,Solar,,,,,,probable
Clarke Creek Wind Farm Stage 2,QLD,704.000,Wind,,,,,,probable
Coppabella Wind Farm,NSW,284.000,Wind,,,,,,probable
Corop Solar Farm,VIC,440.000,Solar,,,,,,probable
Derby Solar Farm & Battery,VIC,95.000,Solar,,,,,,probable
Dinawan Wind Farm Stage 1,NSW,357.000,Wind,,,,,,probable
Elaine Solar Farm,VIC,125.000,Solar,,,,,,probable
Eurimbula Solar Farm,QLD,350.000,Solar,,,,,,probable
Frasers Solar Farm,VIC,77.000,Solar,,,,,,probable
Ganymirra Solar Power Station,QLD,150.000,Solar,,,,,,probable
Gawara Baya Wind Farm,QLD,399.000,Wind,,,,,,probable
Glanmire Solar Farm,NSW,60.000,Solar,,,,,,probable
Goyder North Wind Farm Stage 1,SA,300.000,Wind,,,,,,probable
Guthrie's Gap Solar Power Station,QLD,300.000,Solar,,,,,,probable
Hexham Wind Farm,VIC,600.000,Wind,,,,,,probable
Hopeland Solar Farm,QLD,250.000,Solar,,,,,,probable
Junction Rivers Wind Farm,NSW,585.000,Wind,,,,,,probable
Kalgoorlie Regional Renewable Energy Project (Solar),WA,138.000,Solar,,,,,,probable
Kalgoorlie Regional Renewable Energy Project (Wind),WA,256.000,Wind,,,,,,probable
Kentbruck Green Power Hub,VIC,600.000,Wind,,,,,,probable
Kiamal Solar Farm - Stage 2,VIC,150.000,Solar,,,,,,probable
Kidston Stage 3 Wind Project,QLD,120.000,Wind,,,,,,probable
Lakeland Wind Farm,QLD,100.000,Wind,,,,,,probable
Liverpool Range Wind Stage 1,NSW,634.000,Wind,,,,,,probable
Lower Wonga Solar Farm project,QLD,281.000,Solar,,,,,,probable
Majors Creek Solar Farm,QLD,150.000,Solar,,,,,,probable
Merino Solar Farm,NSW,450.000,Solar,,,,,,probable
Middlebrook Solar Farm,NSW,363.000,Solar,,,,,,probable
Moah Creek Wind Farm,QLD,360.000,Wind,,,,,,probable
Mount Hopeful Wind Farm,QLD,350.000,Wind,,,,,,probable
Northern Midlands Solar Farm,TAS,288.000,Solar,,,,,,probable
Nowingi Solar Power Station,VIC,300.000,Solar,,,,,,probable
Port Augusta Energy Park Stage 2,SA,300.000,Solar,,,,,,probable
Punchs Creek Solar Farm,QLD,400.000,Solar,,,,,,probable
Sandy Creek Solar Farm,NSW,700.000,Solar,,,,,,probable
Silverleaf Solar Farm,NSW,120.000,Solar,,,,,,probable
Smoky Creek Solar Power Station,QLD,300.000,Solar,,,,,,probable
Spicers Creek Wind Farm,NSW,700.000,Wind,,,,,,probable
Tallawang Solar Farm,NSW,500.000,Solar,,,,,,probable
Theodore Wind Farm,QLD,"1,152.000",Wind,,,,,,probable
Thunderbolt Wind Farm stage 1,NSW,230.000,Wind,,,,,,probable
Upper Calliope Solar Farm,QLD,"1,100.000",Solar,,,,,,probable
Vales Point Solar Farm,NSW,62.000,Solar,,,,,,probable
Valley of the Winds,NSW,936.000,Wind,,,,,,probable
Waroona Solar Farm,WA,120.000,Solar,,,,,,probable
West Mokoan Solar Farm,VIC,300.000,Solar,,,,,,probable
Willogoleche 2 Wind Farm,SA,108.000,Wind,,,,,,probable
Winton North Solar Farm,VIC,100.000,Solar,,,,,,probable
Woolsthorpe Wind Farm,VIC,70.000,Wind,,,,,,probable
