Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,South Hedland Power Station,F,WA,1716375,476771,242484,0.0,242484,0.51,On,NWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,-,6139594,1705443,920770,0.0,920770,,-,-,-,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Tailem Bend Solar farm,F,SA,685909,190530,27,565.0,592,0.0,On,NEM,Solar,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Corporate Total,C,-,685909,190530,27,565.0,592,,-,-,-,-
WATER CORPORATION,Cocos Keeling Islands - Home Island Generation,F,WA,9282,2578,1840,0.0,1840,0.71,Off,Off-grid,Diesel,-
WATER CORPORATION,Cocos Keeling Islands - West Island Generation,F,WA,8789,2441,1948,0.0,1948,0.8,Off,Off-grid,Diesel,-
WATER CORPORATION,Corporate Total,C,-,18071,5020,3788,0.0,3788,,-,-,-,-
WEL 1 PTY LTD,Clermont Solar Farm,F,QLD,5939,1650,3,0.0,3,0.0,On,NEM,Solar,-
WEL 1 PTY LTD,Wemen Solar Farm,F,VIC,438407,121780,0,0.0,0,0.0,On,NEM,Solar,-
WEL 1 PTY LTD,Corporate Total,C,-,444346,123429,3,0.0,3,,-,-,-,-
WHITE ROCK SOLAR FARM (HOLDING) PTY LTD,White Rock Solar Farm Pty Ltd,F,NSW,126868,35241,0,51.0,51,0.0,On,NEM,Solar,-
WHITE ROCK SOLAR FARM (HOLDING) PTY LTD,Corporate Total,C,-,126868,35241,0,51.0,51,,-,-,-,-
WILD CATTLE HILL PTY LTD,Wild Cattle Hill Wind Farm,F,TAS,278313,77039,113,63.0,176,0.0,On,NEM,Wind,-
WILD CATTLE HILL PTY LTD,Corporate Total,C,-,278313,77039,113,63.0,176,,-,-,-,-
YARA AUSTRALIA PTY LTD,YPF UTILITIES PRODUCTION AND SUPPLY,F,WA,57594,15998,22904,0.0,22904,1.43,Off,Off-grid,Gas,-
YARA AUSTRALIA PTY LTD,Corporate Total,C,-,57594,15998,22904,0.0,22904,,-,-,-,-
