Controlling corporation,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,5908732,1641314,1413709,1559.0,1415268,0.86,On,SWIS,Black Coal,
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,,5908732,1641314,1413709,1559.0,1415268,,,,,
BP AUSTRALIA INVESTMENTS PTY LTD,BIEP - CoGen,F,QLD,9285,2579,7127,462.0,7589,2.76,On,NEM,Gas,
BP AUSTRALIA INVESTMENTS PTY LTD,Corporate Total,C,,9285,2579,7127,462.0,7589,,,,,
BPIH PTY LIMITED,GX Energy Pty Ltd,F,NSW,84813,23559,13306,2029.0,15335,0.56,On,NEM,Gas,
BPIH PTY LIMITED,Corporate Total,C,,84813,23559,13306,2029.0,15335,,,,,
C S ENERGY LIMITED,Callide B Power Station,F,QLD,15465748,4296041,3993411,32780.0,4026191,0.93,On,NEM,Black Coal,
C S ENERGY LIMITED,Callide C Power Station,F,QLD,21727941,6035539,5418400,21066.0,5439466,0.9,On,NEM,Black Coal,
C S ENERGY LIMITED,Kogan Creek Power Station,F,QLD,16121026,4478063,3766071,4941.0,3771012,0.84,On,NEM,Black Coal,
C S ENERGY LIMITED,Wivenhoe Power Station,F,QLD,312957,86933,42,128685.0,128727,0.0,On,NEM,Hydro,
C S ENERGY LIMITED,Corporate Total,C,,53627672,14896576,13177924,187472.0,13365396,,,,,
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,SA,426416,118449,15,117.0,132,0.0,On,NEM,Wind,
CANUNDA POWER PTY LTD,Corporate Total,C,,426416,118449,15,117.0,132,,,,,
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,729154,202543,7840,962.0,8802,0.04,On,NEM,Bagasse,
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,532727,147980,3908,1599.0,5507,0.03,On,NEM,Bagasse,
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,,1261881,350522,11748,2561.0,14309,,,,,
CBWF HOLDINGS PTY LIMITED,Facility,F,VIC,73901,20528,0,40.0,40,0.0,On,NEM,Wind,
CBWF HOLDINGS PTY LIMITED,Corporate Total,C,,73901,20528,0,40.0,40,,,,,
