Controlling corporation,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes
POWER AND WATER CORPORATION,Yuendumu,F,NT,18780,5217,3702,0.0,3702,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Corporate Total,C,,470679,130744,87503,0.0,847503,,,,,
POWER GENERATION CORPORATION,Channel Island Power Station,F,NT,3846381,1068439,589467,0.0,589467,0.55,On,DKIS,Gas,
POWER GENERATION CORPORATION,Katherine Power Station,F,NT,40490,11247,5931,0.0,5931,0.53,On,DKIS,Gas,
POWER GENERATION CORPORATION,Kings Canyon,F,NT,4338,1205,862,0.0,862,0.72,Off,Off-grid,Solar,
POWER GENERATION CORPORATION,Owen Springs Power Station,F,NT,331359,92044,50416,0.0,50416,0.55,Off,Off-grid,Gas,
POWER GENERATION CORPORATION,Ron Goodin Power Station,F,NT,319342,88706,54059,0.0,54059,0.61,Off,Off-grid,Gas,
POWER GENERATION CORPORATION,Tennant Creek Power Station,F,NT,110408,30669,20867,0.0,20867,0.68,Off,Off-grid,Gas,
POWER GENERATION CORPORATION,Weddell Power Station,F,NT,1550009,430558,243586,0.0,243586,0.57,On,DKIS,Gas,
POWER GENERATION CORPORATION,Yulara Power Station,F,NT,82958,23044,15203,0.0,15203,0.66,Off,Off-grid,Gas/Diesel,
POWER GENERATION CORPORATION,Corporate Total,C,,6285285,1745912,980391,0.0,980391,,,,,
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Visy Energy - Coolaroo Co-gen,F,VIC,55901,15528,22729,11949.0,34678,1.46,On,NEM,Biofuel,
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Corporate Total,C,,55901,15528,22729,11949.0,34678,,,,,
RATCH - AUSTRALIA CORPORATION LIMITED,Kemerton Power Station,F,WA,431232,119787,77320,2504.0,79824,0.65,On,SWIS,Gas/Diesel,
RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,F,SA,326439,90678,55,59.0,114,0.0,On,NEM,Wind,
RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,F,VIC,186575,51826,16,238.0,254,0.0,On,NEM,Wind,
RATCH - AUSTRALIA CORPORATION LIMITED,Townsville Power Station,F,QLD,629309,174808,75650,2469.0,78119,0.43,On,NEM,Gas,
RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,F,QLD,98228,27286,19,16.0,35,0.0,On,NEM,Wind,
RATCH - AUSTRALIA CORPORATION LIMITED,Corporate Total,C,,1671783,464384,153060,5286.0,158346,,,,,
REGIONAL POWER CORPORATION,Carnarvon Power Station,F,WA,160886,44691,26706,0.0,26706,0.6,Off,Off-grid,Gas,
REGIONAL POWER CORPORATION,Horizon Power Aggregated Minor Power Stations,F,WA,42816,11893,8299,0.0,8299,0.7,Off,Off-grid,Diesel,
REGIONAL POWER CORPORATION,South Hedland Temporary Generation Power Station,F,WA,292255,81182,58945,0.0,58945,0.73,On,NWIS,Gas,
REGIONAL POWER CORPORATION,Corporate Total,C,,495957,137766,93950,0.0,93950,,,,,
RIO TINTO LIMITED,Paraburdoo Power Station,F,WA,2060232,572287,308432,0.0,308432,0.54,On,NWIS,Gas,
RIO TINTO LIMITED,West Angelas Power Station,F,WA,647820,179950,98197,0.0,98197,0.55,On,NWIS,Gas,
RIO TINTO LIMITED,Yurralyi Maya Power Station,F,WA,3404008,945558,523898,0.0,523898,0.55,On,NWIS,Gas,
RIO TINTO LIMITED,Corporate Total,C,,6112060,1697794,930527,0.0,930527,,,,,
SANTOS LIMITED,Wilga Park Power Station,F,NSW,319619,88783,47689,73.0,47762,0.54,On,NEM,Coal Seam Methane,
SANTOS LIMITED,Corporate Total,C,,319619,88783,47689,73.0,47762,,,,,
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Musselroe Wind Farm Pty Ltd,F,TAS,1958343,543984,159,1747.0,1906,0.0,On,NEM,Wind,
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Woolnorth Bluff point Wind Farm Pty Ltd,F,TAS,845275,234799,84,1565.0,1649,0.0,On,NEM,Wind,
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Woolnorth Studland Bay Wind Farm Pty Ltd,F,TAS,976551,271264,85,1805.0,1890,0.0,On,NEM,Wind,
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Corporate Total,C,,3780169,1050047,328,5117.0,5445,,,,,
SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,F,SA,1595739,443261,104,505.0,609,0.0,On,NEM,Wind,
SNOWTOWN SOUTH WIND FARM PTY. LTD.,Corporate Total,C,,1595739,443261,104,505.0,609,,,,,
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,F,SA,1254374,348437,0,238.0,238,0.0,On,NEM,Wind,
SNOWTOWN WIND FARM PTY LTD,Corporate Total,C,,1254374,348437,0,238.0,238,,,,,
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,F,SA,1608296,446749,119,600.0,719,0.0,On,NEM,Wind,
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,Corporate Total,C,,1608296,446749,119,600.0,719,,,,,
SNOWY HYDRO LIMITED,Angaston Power Station,F,SA,19083,5301,3518,371.0,3889,0.66,On,NEM,Liquid Fuel,
SNOWY HYDRO LIMITED,Colongra Power Station,F,NSW,104192,28942,19025,6299.0,25324,0.66,On,NEM,Gas,
SNOWY HYDRO LIMITED,Laverton North Power Station,F,VIC,80753,22431,18990,3227.0,22217,0.85,On,NEM,Gas,
SNOWY HYDRO LIMITED,Lonsdale/Port Stanvac Power Station,F,SA,39016,10838,5911,268.0,6179,0.55,On,NEM,Diesel,
SNOWY HYDRO LIMITED,Snowy Hydro Ltd,F,NSW,16667773,4629937,1309,69757.0,71066,0.0,On,NEM,Hydro,
SNOWY HYDRO LIMITED,Valley Power,F,VIC,38440,10678,8234,3246.0,11480,0.77,On,NEM,Gas,
SNOWY HYDRO LIMITED,Corporate Total,C,,16949257,4708127,56987,83168.0,140155,,,,,
SOLAR FARM INVESTMENTS PTY LTD,Moree Solar Farm,F,NSW,122650,34069,363,301.0,664,0.01,On,NEM,Solar,
SOLAR FARM INVESTMENTS PTY LTD,Corporate Total,C,,122650,34069,363,301.0,664,,,,,
STANWELL CORPORATION LIMITED,Barron Gorge Power Station,F,QLD,384782,106884,207,779.0,986,0.0,On,NEM,Hydro,
STANWELL CORPORATION LIMITED,Kareeya Power Station,F,QLD,1062265,295074,21,3212.0,3233,0.0,On,NEM,Hydro,
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,QLD,1160,322,390,1.0,391,1.21,On,NEM,Diesel,
STANWELL CORPORATION LIMITED,Mica Creek Power Station,F,QLD,710016,197227,98861,0.0,98861,0.5,On,Mt Isa,Gas,
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,QLD,32721704,9089362,7687987,8378.0,7696365,0.85,On,NEM,Black Coal,
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,QLD,37432441,10397900,9060958,33457.0,9094415,0.87,On,NEM,Black Coal,
STANWELL CORPORATION LIMITED,Corporate Total,C,,72312368,20086769,16848424,45827.0,16894251,,,,,
SUNSET POWER INTERNATIONAL PTY LTD,Vales Point Power Station,F,NSW,14153978,3931661,3402450,36823.0,3439273,0.87,On,NEM,Black Coal,
SUNSET POWER INTERNATIONAL PTY LTD,Corporate Total,C,,14153978,3931661,3402450,36823.0,3439273,,,,,
SYNERGEN POWER PTY LIMITED,Dry Creek Power Station,F,SA,22309,6197,7402,476.0,7878,1.19,On,NEM,Gas,
SYNERGEN POWER PTY LIMITED,Mintaro Power Station,F,SA,46992,13053,11027,140.0,11167,0.84,On,NEM,Gas,
SYNERGEN POWER PTY LIMITED,Port Lincoln Power Station,F,SA,1769,491,805,242.0,1047,1.64,On,NEM,Diesel,
SYNERGEN POWER PTY LIMITED,Snuggery Power Station,F,SA,3549,986,1125,560.0,1685,1.14,On,NEM,Diesel,
SYNERGEN POWER PTY LIMITED,Corporate Total,C,,74619,20727,20359,1418.0,21777,,,,,
TASMANIAN IRRIGATION PTY LTD,Midlands Power Station,F,TAS,125687,34913,0,0.0,0,0.0,On,NEM,Hydro,
TASMANIAN IRRIGATION PTY LTD,Corporate Total,C,,125687,34913,0,0.0,0,,,,,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,780449,216791,124167,0.0,124167,0.57,On,SWIS,Gas,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,836830,232453,132050,0.0,132050,0.57,On,SWIS,Gas,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,1065136,295871,165110,0.0,165110,0.56,Off,Off-grid,Gas/Diesel,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,1220153,338931,193130,0.0,193130,0.57,Off,Off-grid,Gas,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Solomon Power Station,F,WA,949506,263752,203274,0.0,203274,0.77,Off,Off-grid,Gas/Diesel,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,,4852074,1347798,817731,0.0,817731,,,,,
WATER CORPORATION,Cocos Keeling Islands - Home Island Generation,F,WA,9249,2569,1827,0.0,1827,0.71,Off,Off-grid,Liquid Fuel,
WATER CORPORATION,Cocos Keeling Islands - West Island Generation,F,WA,4765,1324,1031,0.0,1031,0.78,Off,Off-grid,Liquid Fuel,
WATER CORPORATION,Corporate Total,C,,14014,3893,2858,0.0,2858,,,,,
